"REGION"	"COUNTRY"	"MARKET_TYPE"	"PROJECT_SCOPE"	"PROJECT_TYPE"	"PROJECT_COUNT"
"Sub-Saharan Africa"	"Tanzania"	"VCS"	"Forestry & Land Use"	"REDD+"	"1"
"Sub-Saharan Africa"	"Tanzania"	"VCS"	"Renewable Energy"	"RE Bundled"	"1"
"Sub-Saharan Africa"	"Togo"	"GS"	"Household & Community"	"Community Boreholes"	"5"
"Sub-Saharan Africa"	"Togo"	"GS"	"Household & Community"	"Clean Water"	"1"
"Sub-Saharan Africa"	"Togo"	"GS"	"Household & Community"	"Cookstoves"	"1"
"Sub-Saharan Africa"	"Togo"	"GS"	"Waste Management"	"Composting"	"1"
"Sub-Saharan Africa"	"Togo"	"VCS"	"Household & Community"	"Cookstoves"	"1"
"Sub-Saharan Africa"	"Togo"	"VCS"	"Renewable Energy"	"Solar - Centralized"	"1"
"Sub-Saharan Africa"	"Uganda"	"GS"	"Household & Community"	"Cookstoves"	"78"
"Sub-Saharan Africa"	"Uganda"	"GS"	"Household & Community"	"Clean Water"	"28"
"Sub-Saharan Africa"	"Uganda"	"GS"	"Household & Community"	"Community Boreholes"	"27"
"Sub-Saharan Africa"	"Uganda"	"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"1"
"Sub-Saharan Africa"	"Uganda"	"GS"	"Household & Community"	"Biodigesters"	"1"
"Sub-Saharan Africa"	"Uganda"	"GS"	"Household & Community"	"Bundled Energy Efficiency"	"1"
"Sub-Saharan Africa"	"Uganda"	"GS"	"Renewable Energy"	"Solar Lighting"	"1"
"Sub-Saharan Africa"	"Uganda"	"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"11"
"Sub-Saharan Africa"	"Uganda"	"VCS"	"Household & Community"	"Cookstoves"	"4"
"Sub-Saharan Africa"	"Uganda"	"VCS"	"Household & Community"	"Bundled Energy Efficiency"	"2"
"Sub-Saharan Africa"	"Uganda"	"VCS"	"Renewable Energy"	"Hydropower"	"2"
"Sub-Saharan Africa"	"Uganda"	"VCS"	"Agriculture"	"Manure Methane Digester"	"1"
"Sub-Saharan Africa"	"Uganda"	"VCS"	"Waste Management"	"Methane Recovery in Wastewater"	"1"
"Sub-Saharan Africa"	"Zambia"	"GS"	"Household & Community"	"Clean Water"	"15"
"Sub-Saharan Africa"	"Zambia"	"GS"	"Household & Community"	"Cookstoves"	"6"
"Sub-Saharan Africa"	"Zambia"	"GS"	"Renewable Energy"	"Hydropower"	"1"
"Sub-Saharan Africa"	"Zambia"	"GS"	"Renewable Energy"	"Solar Lighting"	"1"
"Sub-Saharan Africa"	"Zambia"	"VCS"	"Household & Community"	"Cookstoves"	"6"
"Sub-Saharan Africa"	"Zambia"	"VCS"	"Forestry & Land Use"	"REDD+"	"3"
"Sub-Saharan Africa"	"Zambia"	"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"1"
"Sub-Saharan Africa"	"Zambia"	"VCS"	"Renewable Energy"	"Solar - Distributed"	"1"
"Sub-Saharan Africa"	"Zimbabwe"	"GS"	"Household & Community"	"Community Boreholes"	"6"
"Sub-Saharan Africa"	"Zimbabwe"	"GS"	"Household & Community"	"Cookstoves"	"1"
"Sub-Saharan Africa"	"Zimbabwe"	"VCS"	"Household & Community"	"Cookstoves"	"2"
"Western Asia"	"Bahrain"	"VCS"	"Renewable Energy"	"Solar - Centralized"	"1"
"Western Asia"	"Georgia"	"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"1"
"Western Asia"	"Georgia"	"VCS"	"Renewable Energy"	"Hydropower"	"1"
"Western Asia"	"Iraq"	"GS"	"Renewable Energy"	"Solar - Distributed"	"1"
"Western Asia"	"Israel"	"VCS"	"Industrial & Commercial"	"Energy Efficiency"	"1"
"Western Asia"	"Israel"	"VCS"	"Industrial & Commercial"	"Fuel Switching"	"1"
"Western Asia"	"Jordan"	"VCS"	"Renewable Energy"	"Solar - Centralized"	"1"
"Western Asia"	"Oman"	"VCS"	"Waste Management"	"Landfill Methane"	"2"
"Western Asia"	"Oman"	"VCS"	"Industrial & Commercial"	"Waste Gas Recovery"	"1"
"Western Asia"	"Türkiye"	"GS"	"Renewable Energy"	"Wind"	"110"
"Western Asia"	"Türkiye"	"GS"	"Renewable Energy"	"Hydropower"	"17"
"Western Asia"	"Türkiye"	"GS"	"Waste Management"	"Landfill Methane"	"12"
"Western Asia"	"Türkiye"	"GS"	"Renewable Energy"	"Solar - Centralized"	"6"
"Western Asia"	"Türkiye"	"GS"	"Agriculture"	"Manure Methane Digester"	"3"
"Western Asia"	"Türkiye"	"GS"	"Renewable Energy"	"Geothermal"	"2"
"Western Asia"	"Türkiye"	"GS"	"Industrial & Commercial"	"Waste Heat Recovery"	"1"
"Western Asia"	"Türkiye"	"VCS"	"Renewable Energy"	"Hydropower"	"85"
"Western Asia"	"Türkiye"	"VCS"	"Renewable Energy"	"Wind"	"16"
"Western Asia"	"Türkiye"	"VCS"	"Agriculture"	"Manure Methane Digester"	"9"
"Western Asia"	"Türkiye"	"VCS"	"Renewable Energy"	"Solar - Centralized"	"8"
"Western Asia"	"Türkiye"	"VCS"	"Waste Management"	"Landfill Methane"	"7"
"Western Asia"	"Türkiye"	"VCS"	"Industrial & Commercial"	"Waste Heat Recovery"	"5"
"Western Asia"	"Türkiye"	"VCS"	"Renewable Energy"	"Biomass"	"3"
"Western Asia"	"Türkiye"	"VCS"	"Renewable Energy"	"Geothermal"	"2"
"Western Asia"	"Türkiye"	"VCS"	"Industrial & Commercial"	"Energy Efficiency"	"1"
"Western Asia"	"Türkiye"	"VCS"	"Transportation"	"Mass Transit"	"1"
"Western Asia"	"United Arab Emirates"	"VCS"	"Industrial & Commercial"	"Energy Efficiency"	"1"
"Western Asia"	"United Arab Emirates"	"VCS"	"Industrial & Commercial"	"Waste Heat Recovery"	"1"
		"ACR"			"1"
		"CAR"			"1"
		"GS"			"1"
		"VCS"			"1"
